job_title,job_category,required_skills,job_id,shop_type,salary_per_day,salary_type,number_of_openings,max_distance_km,retailer_verified,job_status,is_blocked,shift_type,working_days,seasonal_job,season_name,combined_text,shop_name,address_line,area,city,state,pincode,latitude,longitude
personal assistant for project manager,retail assistant,"multitasking, shelf arrangement, store assistance",3e5f8b48-709e-4791-b274-af69d0b719db,clothing store,450,daily,1,5,True,approved,False,holiday,weekdays+holidays,False,none,"personal assistant for project manager multitasking, shelf arrangement, store assistance retail assistant clothing store holiday weekdays+holidays",,,,,,,,
personal assistant for project manager,retail assistant,"multitasking, shelf arrangement, store assistance",3c2481ca-edfe-43a4-ad35-936089f535d4,supermarket,350,daily,3,5,True,approved,False,evening+holiday,weekends,True,exam_break,"personal assistant for project manager multitasking, shelf arrangement, store assistance retail assistant supermarket evening+holiday weekends",,,,,,,,
personal assistant for project manager,retail assistant,"multitasking, shelf arrangement, store assistance",ec9e0056-c6b7-4d8f-b0ce-a59f7823f13f,retail shop,350,daily,2,5,True,approved,False,evening+holiday,weekends,True,summer,"personal assistant for project manager multitasking, shelf arrangement, store assistance retail assistant retail shop evening+holiday weekends",,,,,,,,
audit and tax assistant (fresh graduates),retail assistant,"shelf arrangement, inventory support, store assistance",2aad94db-1870-4f24-b1a1-4d5048dc5618,bakery,300,daily,7,2,True,approved,False,evening,weekdays,True,onam,"audit and tax assistant (fresh graduates) shelf arrangement, inventory support, store assistance retail assistant bakery evening weekdays",,,,,,,,
audit and tax assistant (fresh graduates),retail assistant,"shelf arrangement, inventory support, store assistance",d9aab008-e0ef-4b4c-a111-22512c0faa7c,petrol pump,400,daily,5,8,True,approved,False,evening,weekdays,True,onam,"audit and tax assistant (fresh graduates) shelf arrangement, inventory support, store assistance retail assistant petrol pump evening weekdays",,,,,,,,
audit and tax assistant (fresh graduates),retail assistant,"shelf arrangement, inventory support, store assistance",e52d2958-ac6f-47f5-9987-0054f48a57a0,petrol pump,450,daily,1,2,True,approved,False,evening+holiday,weekends,False,none,"audit and tax assistant (fresh graduates) shelf arrangement, inventory support, store assistance retail assistant petrol pump evening+holiday weekends",,,,,,,,
audit and tax assistant (fresh graduates),retail assistant,"shelf arrangement, inventory support, store assistance",69ac0141-bc76-4353-985a-11705869c58d,parts supplier,450,daily,7,8,True,approved,False,holiday,weekdays+holidays,False,none,"audit and tax assistant (fresh graduates) shelf arrangement, inventory support, store assistance retail assistant parts supplier holiday weekdays+holidays",,,,,,,,
office services assistant (6 months contract),retail assistant,"multitasking, shelf arrangement, store assistance, inventory support",0b1e8c38-631e-4eff-a8d4-1dff970c6747,retail shop,450,daily,12,8,True,approved,False,evening,weekdays,False,none,"office services assistant (6 months contract) multitasking, shelf arrangement, store assistance, inventory support retail assistant retail shop evening weekdays",,,,,,,,
"executive/ sr. executive, accounts",accounting,"record maintenance, data entry, excel basics, basic accounting",351d940c-1d64-47a2-8212-51833b60ed9f,supermarket,300,daily,1,3,True,approved,False,evening+holiday,weekends,False,none,"executive/ sr. executive, accounts record maintenance, data entry, excel basics, basic accounting accounting supermarket evening+holiday weekends",,,,,,,,
"executive/ sr. executive, accounts",accounting,"record maintenance, data entry, excel basics, basic accounting",5ade5f46-7c5f-44bf-8fbf-ae2bf7f401f3,bakery,300,daily,3,8,True,approved,False,holiday,weekends,False,none,"executive/ sr. executive, accounts record maintenance, data entry, excel basics, basic accounting accounting bakery holiday weekends",,,,,,,,
"executive/ sr. executive, accounts",accounting,"record maintenance, data entry, excel basics, basic accounting",236c2ae6-fc26-4ecb-a8db-5f0a87f06279,parts supplier,400,daily,1,2,True,approved,False,evening+holiday,weekends,True,christmas,"executive/ sr. executive, accounts record maintenance, data entry, excel basics, basic accounting accounting parts supplier evening+holiday weekends",,,,,,,,
sr. engineer/assistant manager -r&d project management,retail assistant,"inventory support, store assistance, shelf arrangement",2832f048-b7ba-419a-9bd1-23a5cf4939e2,clothing store,350,daily,3,5,True,approved,False,holiday,weekends,False,none,"sr. engineer/assistant manager -r&d project management inventory support, store assistance, shelf arrangement retail assistant clothing store holiday weekends",,,,,,,,
sr. engineer/assistant manager -r&d project management,retail assistant,"inventory support, store assistance, shelf arrangement",459f1edf-a958-42cd-889e-7ce504ca0578,supermarket,300,daily,1,3,True,approved,False,evening,weekdays,False,none,"sr. engineer/assistant manager -r&d project management inventory support, store assistance, shelf arrangement retail assistant supermarket evening weekdays",,,,,,,,
sr. engineer/assistant manager -r&d project management,retail assistant,"inventory support, store assistance, shelf arrangement",50cd8b24-276a-4771-a0d5-e960ab25de6c,clothing store,400,daily,1,10,True,approved,False,evening+holiday,weekdays+holidays,False,none,"sr. engineer/assistant manager -r&d project management inventory support, store assistance, shelf arrangement retail assistant clothing store evening+holiday weekdays+holidays",,,,,,,,
e-commerce / sales admin / secretary,sales,"sales, customer interaction, stock handling, communication skills",2c7f78bb-9c9d-4823-a32a-6798e954f4cd,clothing store,400,daily,3,8,True,approved,False,holiday,weekdays+holidays,False,none,"e-commerce / sales admin / secretary sales, customer interaction, stock handling, communication skills sales clothing store holiday weekdays+holidays",,,,,,,,
e-commerce / sales admin / secretary,sales,"sales, customer interaction, stock handling, communication skills",e28e5f57-1347-42e2-a6f6-8e6903d5c318,parts supplier,450,daily,7,2,True,approved,False,evening+holiday,weekends,True,onam,"e-commerce / sales admin / secretary sales, customer interaction, stock handling, communication skills sales parts supplier evening+holiday weekends",,,,,,,,
e-commerce / sales admin / secretary,sales,"sales, customer interaction, stock handling, communication skills",fc20b5dd-6858-4c80-aa0d-3fc7b31b38fc,retail shop,400,daily,1,5,True,approved,False,evening+holiday,weekdays+holidays,True,christmas,"e-commerce / sales admin / secretary sales, customer interaction, stock handling, communication skills sales retail shop evening+holiday weekdays+holidays",,,,,,,,
sales executive (management trainee) - kepong,sales,"stock handling, communication skills, customer interaction, sales",b8eab92d-70f8-4edf-b648-7e67bf97c815,retail shop,350,daily,5,8,True,approved,False,evening,weekdays,True,christmas,"sales executive (management trainee) - kepong stock handling, communication skills, customer interaction, sales sales retail shop evening weekdays",,,,,,,,
sales executive (management trainee) - kepong,sales,"stock handling, communication skills, customer interaction, sales",3a739dcc-d6fc-4cfc-8e82-ccdd3de52eea,supermarket,300,daily,5,5,True,approved,False,evening,weekdays,True,summer,"sales executive (management trainee) - kepong stock handling, communication skills, customer interaction, sales sales supermarket evening weekdays",,,,,,,,
sales executive (management trainee) - kepong,sales,"stock handling, communication skills, customer interaction, sales",07149d39-cd85-4f2e-8392-d2f5706624c3,retail shop,350,daily,5,3,True,approved,False,holiday,weekdays+holidays,True,onam,"sales executive (management trainee) - kepong stock handling, communication skills, customer interaction, sales sales retail shop holiday weekdays+holidays",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",6c9f9f97-7bb7-4a55-a5c5-2f2a11134733,clothing store,450,daily,3,3,True,approved,False,evening+holiday,weekdays+holidays,True,onam,"account executive record maintenance, basic accounting, data entry, excel basics accounting clothing store evening+holiday weekdays+holidays",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",e4230406-040f-4679-92df-87cdb0b28838,parts supplier,350,daily,10,2,True,approved,False,evening,weekdays,False,none,"account executive record maintenance, basic accounting, data entry, excel basics accounting parts supplier evening weekdays",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",1f5b5ab5-72fa-46d8-b1ab-fe47241aa68a,petrol pump,350,daily,2,10,True,approved,False,evening+holiday,weekends,True,onam,"account executive record maintenance, basic accounting, data entry, excel basics accounting petrol pump evening+holiday weekends",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",e1de095a-6d99-4d8f-8814-8143366875fc,bakery,350,daily,7,2,True,approved,False,evening,weekdays,False,none,"account executive record maintenance, basic accounting, data entry, excel basics accounting bakery evening weekdays",,,,,,,,
sales executive (microbiology),sales,"communication skills, stock handling, customer interaction, sales",57eb0b14-f4a2-4350-9465-8fb15e8c56ab,retail shop,300,daily,2,5,True,approved,False,evening+holiday,weekdays+holidays,True,festival,"sales executive (microbiology) communication skills, stock handling, customer interaction, sales sales retail shop evening+holiday weekdays+holidays",,,,,,,,
sales executive (microbiology),sales,"communication skills, stock handling, customer interaction, sales",307eb819-9ce3-4df7-aaf3-12e507df2bdf,parts supplier,450,daily,3,8,True,approved,False,evening+holiday,weekdays+holidays,True,onam,"sales executive (microbiology) communication skills, stock handling, customer interaction, sales sales parts supplier evening+holiday weekdays+holidays",,,,,,,,
sales executive (microbiology),sales,"communication skills, stock handling, customer interaction, sales",6ee20c8f-f611-4d37-9a3d-889d1c45b44f,retail shop,450,daily,3,3,True,approved,False,evening,weekdays,False,none,"sales executive (microbiology) communication skills, stock handling, customer interaction, sales sales retail shop evening weekdays",,,,,,,,
sales executive (microbiology),sales,"communication skills, stock handling, customer interaction, sales",66bce4e7-9d89-43e2-ba87-165109f06bb7,parts supplier,300,daily,3,3,True,approved,False,evening,weekdays,False,none,"sales executive (microbiology) communication skills, stock handling, customer interaction, sales sales parts supplier evening weekdays",,,,,,,,
corporate sales executive,sales,"communication skills, customer interaction, sales, stock handling",2ac065f9-ab7b-459e-bd37-c8470a14e651,parts supplier,300,daily,7,10,True,approved,False,holiday,weekends,False,none,"corporate sales executive communication skills, customer interaction, sales, stock handling sales parts supplier holiday weekends",,,,,,,,
corporate sales executive,sales,"communication skills, customer interaction, sales, stock handling",00f8c11d-45fc-493c-b017-9cb88b2ddc62,supermarket,350,daily,1,2,True,approved,False,evening,weekdays,False,none,"corporate sales executive communication skills, customer interaction, sales, stock handling sales supermarket evening weekdays",,,,,,,,
corporate sales executive,sales,"communication skills, customer interaction, sales, stock handling",182c2e65-a5f5-49e7-9ed6-276d6bb5f55e,parts supplier,350,daily,7,8,True,approved,False,evening+holiday,weekdays+holidays,True,exam_break,"corporate sales executive communication skills, customer interaction, sales, stock handling sales parts supplier evening+holiday weekdays+holidays",,,,,,,,
sales admin clerk ( 销售行政文员) rm2000-rm3000,sales,"sales, stock handling, customer interaction, communication skills",06a810a3-9f12-4520-bf6c-688d93a2ba9c,bakery,300,daily,5,5,True,approved,False,evening+holiday,weekdays+holidays,False,none,"sales admin clerk ( 销售行政文员) rm2000-rm3000 sales, stock handling, customer interaction, communication skills sales bakery evening+holiday weekdays+holidays",,,,,,,,
sales admin clerk ( 销售行政文员) rm2000-rm3000,sales,"sales, stock handling, customer interaction, communication skills",df92bcec-41b7-4cbf-82af-f1c5676015bb,bakery,400,daily,10,10,True,approved,False,evening,weekdays,False,none,"sales admin clerk ( 销售行政文员) rm2000-rm3000 sales, stock handling, customer interaction, communication skills sales bakery evening weekdays",,,,,,,,
sales admin clerk ( 销售行政文员) rm2000-rm3000,sales,"sales, stock handling, customer interaction, communication skills",a4635c43-9cb4-4b94-801c-4a57f32bcc27,clothing store,400,daily,12,8,True,approved,False,evening,weekdays,False,none,"sales admin clerk ( 销售行政文员) rm2000-rm3000 sales, stock handling, customer interaction, communication skills sales clothing store evening weekdays",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",53516be6-e1fa-4add-bf8a-a100e032680d,retail shop,400,daily,12,2,True,approved,False,evening,weekdays,False,none,"account executive record maintenance, basic accounting, data entry, excel basics accounting retail shop evening weekdays",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",3fd8ca27-80ac-413a-9326-28d77ffc44e1,clothing store,400,daily,12,5,True,approved,False,evening+holiday,weekends,False,none,"account executive record maintenance, basic accounting, data entry, excel basics accounting clothing store evening+holiday weekends",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",afbb8d76-09f9-4eeb-8851-634252220b75,parts supplier,400,daily,1,8,True,approved,False,evening+holiday,weekends,True,festival,"account executive record maintenance, basic accounting, data entry, excel basics accounting parts supplier evening+holiday weekends",,,,,,,,
account executive,accounting,"record maintenance, basic accounting, data entry, excel basics",64017986-ed3a-46ac-84d1-bfe007fe9fef,parts supplier,400,daily,5,8,True,approved,False,evening,weekdays,False,none,"account executive record maintenance, basic accounting, data entry, excel basics accounting parts supplier evening weekdays",,,,,,,,
hr assistant manager (client facing advisory) - work from home,retail assistant,"multitasking, shelf arrangement, inventory support",2b84e36a-a127-45d2-85f5-ab4b0fa7bc82,bakery,450,daily,7,10,True,approved,False,holiday,weekdays+holidays,False,none,"hr assistant manager (client facing advisory) - work from home multitasking, shelf arrangement, inventory support retail assistant bakery holiday weekdays+holidays",,,,,,,,
hr assistant manager (client facing advisory) - work from home,retail assistant,"multitasking, shelf arrangement, inventory support",390cf91f-3744-4fc6-9d1d-3bcace428bf8,bakery,300,daily,5,8,True,approved,False,holiday,weekdays+holidays,True,exam_break,"hr assistant manager (client facing advisory) - work from home multitasking, shelf arrangement, inventory support retail assistant bakery holiday weekdays+holidays",,,,,,,,
hr assistant manager (client facing advisory) - work from home,retail assistant,"multitasking, shelf arrangement, inventory support",8a423bf0-5a9b-4766-a689-b514bf7c01ee,retail shop,350,daily,2,2,True,approved,False,evening+holiday,weekends,False,none,"hr assistant manager (client facing advisory) - work from home multitasking, shelf arrangement, inventory support retail assistant retail shop evening+holiday weekends",,,,,,,,
hr assistant manager (client facing advisory) - work from home,retail assistant,"multitasking, shelf arrangement, inventory support",3f8c27c0-d921-4b59-ad7e-a485d71023fc,petrol pump,400,daily,1,10,True,approved,False,evening+holiday,weekdays+holidays,True,exam_break,"hr assistant manager (client facing advisory) - work from home multitasking, shelf arrangement, inventory support retail assistant petrol pump evening+holiday weekdays+holidays",,,,,,,,
accounts cum tax executive,accounting,"data entry, excel basics, basic accounting, record maintenance",0a338992-fa65-4f9e-82d9-8cc85a7619ec,bakery,450,daily,7,8,True,approved,False,evening+holiday,weekdays+holidays,False,none,"accounts cum tax executive data entry, excel basics, basic accounting, record maintenance accounting bakery evening+holiday weekdays+holidays",,,,,,,,
